¿œ∫∞,TOTAL
2011-06-14,103156397.1
2011-06-15,104437999.5
2011-06-16,106145856.1
2011-06-17,104313730.1
2011-06-18,88531989.94
2011-06-19,75091685.18
2011-06-20,98196568.58
2011-06-21,111500554.2
2011-06-22,105913351.9
2011-06-23,106818251.7
2011-06-24,105583113.2
2011-06-25,86436609.52
2011-06-26,76169661.83
2011-06-27,95155655.07
2011-06-28,109226622
2011-06-29,112592007.9
2011-06-30,111668530.3
2011-07-01,112492611.6
2011-07-02,96235332.23
2011-07-03,77107001.75
2011-07-04,97376824.55
2011-07-05,108056280.3
2011-07-06,104355318.5
2011-07-07,102811269.7
2011-07-08,104557193.7
2011-07-09,90864783.19
2011-07-10,77016696.92
2011-07-11,96455535.56
2011-07-12,104463377.7
2011-07-13,104677062.8
2011-07-14,105641641
2011-07-15,107619958.4
2011-07-16,92406582.33
2011-07-17,79044080.7
2011-07-18,107543850.6
2011-07-19,118591169.3
2011-07-20,118940890
2011-07-21,109803075.6
2011-07-22,104984914.8
2011-07-23,92013992.1
2011-07-24,78559613.48
2011-07-25,102754499.5
2011-07-26,109565808.5
2011-07-27,106895202.7
2011-07-28,108196209
2011-07-29,108022892.9
2011-07-30,89680473.14
2011-07-31,76875368.89
2011-08-01,84477705.63
2011-08-02,86867866.01
2011-08-03,90452461.5
2011-08-04,96780466.6
2011-08-05,102270596
2011-08-06,93418557.91
2011-08-07,81958511.08
2011-08-08,102740284.4
2011-08-09,106578796.9
2011-08-10,107689630.1
2011-08-11,110597524.5
2011-08-12,107469289.6
2011-08-13,90604266.05
2011-08-14,78536975.81
2011-08-15,85557296.4
2011-08-16,106503316.9
2011-08-17,105976789.9
2011-08-18,107439090.4
2011-08-19,103320339.2
2011-08-20,86430973.73
2011-08-21,75230913.56
2011-08-22,94567888.78
2011-08-23,102045003.6
2011-08-24,99307538.39
2011-08-25,102742480.2
2011-08-26,103165368.8
2011-08-27,93207261.21
2011-08-28,80980732.33
2011-08-29,109611379.4
